CSAT Score,cleaned_remarks
5,good behaviour
4,watch display no show
4,wanted cancel order infotmed order not booked
1,staff speak however even 1 month issue not resolved nor refund made bad shopzilla
5,improve system felt bad exprience
1,shopzilla support team like robot understand human values
5,really like shopzilla product please make happy best quality products
5,make return replace policy mandatory sellers otherwise shipped product want sell not buyer ordered
5,good employee
5,thanks
5,job nice
1,no sultan problem
5,good
5,good
1,want return product customer executive told not possible product not necessary product till happened product plz resolved problem
5,best
1,happy
5,customer support good keep
5,waiting getting approval replacement request bad pathetic
1,seriously pathetic experience ever using shopzilla shopzilla app bugging im paying price seriously rude selfish behaviour really disappointed
1,bad experience
5,good
5,best luck brother r good men bro
5,backup team always delays
5,everything good please make sure products deliver customers okk
4,shopzilla losing trust public
4,non returnable products ordered knowing returnable please deliver order ordered gray color printed vest received plain black color vest totally different handle
5,5
5,good feedback sir
5,thanks sir
5,good job
5,thanks support
1,poor customer servicethey helpknowingly disconnect call
4,bengali language available may better
1,sure product delivery date
5,way talk good feel like problem solve soon
1,customers support like robot
5,please add return policy every product please maintain quality products trusting shopzilla long time
5,thank
4,thank
5,customers care service helpful
4,unprofessional delivery experience
5,ask supplier give customers ordered products rather give products per wish
5,custome excu good
1,worst customer service center frequent disconnecting callwasted 15 days one issue no manner talk no resolution
5,officers good talk resolved problem
5,great executive supporter
5,good
5,good support
5,good
5,thank
1,thanks
1,delivery boy hai hai
1,ugggu
4,no
5,ok
5,thank jii
5,good
5,nice
5,please make fast reach customer support
5,madam ne mera problem solve kar diya hai thanks madam
5,customer support good way talk interactive
5,ok
4,good
1,puka
5,customer care supportive
5,good
4,no
5,make policy faxible
5,kindly talk seller regarding improve quality product also tell assure right perfect items customer
1,pls look issues properly address relevant solution
4,customer care number website reach complaints query
5,na
5,good talk
5,no suggestion look awesome terms reaching quick assistance
5,customer care executive mature caring
5,good customer care executive problem resolved like company executives skills understanding good valuable guidlines understanding fully properly happy independence day shopzilla membership specialy company owner
5,delivery products
1,worst service ever seen entire life entire career worked e commerce support team know tat policies agent word paawan took 12 minutes understand concern u guys resolve anything tell directly waste time putting hold wasting customers time asked connect escalation team also not giving fake excuses technical issue u guys really humanity courtesy help customers worst e commerce support honest going escalate social media well make sure tag u guys
4,pls confirmation exchange products
5,thank
5,good
1,poor support senior teams
5,provide direct coustmer call
5,good talking experience ur customers care
5,shopzilla company good
5,behavior nice
1,extremely bad experience闁肩儤甯 崺妞 never order fruits veggies dal spices shopzilla 闁肩儤甯 崺妞ゆ垶绻嶅ú鏄絩st quality
5,thank
5,thanks
5,good
5,ok
5,sab thik par customer ke perspective se bhi dekh ke policy rakho seller
1,continuously raising complaints shopzilla regaridng issue not solved return item get pickedup 7th august today 14th august still no resolution
5,service good
5,good
5,good person good behavior
5,gud work keep
5,thanks shopzilla
5,good
5,good toking
5,nice
1,getting order delay no proper information
1,shopzilla not provide god service
5,order missing part want part delivered received option return packet lodge complaint compensation assisting person supportive patient
1,problem not solved
1,problam not solve
4,good
5,queries answered properly customer executive far best experience shopzilla customer agent great helping problem super polite well amazing communicationwish well whatever
1,good work
5,nice
5,great
5,customer service 1no
2,buying electronics plz provide demo installation please regret customer choosing shopzilla even choose superbuy good prices spending 14k printer saying no installation disgusting offer service shopzilla especially buying independence sale
5,thank shopzilla
4,thank shopzilla customer service
1,shopzilla logistics madinaguda hyderbad writting false statement undelivery without contacting also without receiving phone
5,good
5,ploite
5,good
4,thanks
5,nice talking
3,thank
4,satishfied
1,query not yet resolved call excutive told raised request never raised ticket shared totally wasted time call shopzilla support team
5,good
1,
1,please add malayalam language also
5,every thing good time u late
1,customer service good
5,delivery service 3rd class
5,q contact
5,best
5,good behavior
3,issue not resolved ordered something shopzilla anything comesup shopzilla take care instead telling contact bank not good
1,ing shit support pwople giving
5,5 star shopzilla
5,issue addressed mr no time really happy shopzilla wonderful professional team customer executive quick responding listened properly query resolved issue way suppose thank u best
5,worst service shopzilla
5,nice
5,already best
5,impress caustomer care promise expected delivery no response one request please expected delivery date delivery please
5,great job
5,good communication service
5,customer exicutive good satisfied answers
1,delivery experience bad
5,good experience shopzilla
5,good customer service problem slove quickly
5,good
5,overall good
5,thanks solve issue
5,no problem agent really good
5,customer executive good job
1,bad experience
5,thank shopzilla customer care agent mr shivparasant sir thank much happy shopzilla customer care good help thanks shopzilla customer team
5,excellent
5,online complain rease option not available
5,good
5,good
5,large products keep word home delivery it闁肩儤甯 崺妞ゆ垼妫勬俊绌 disappointing shopzilla guys not delivering products time intact no information also quite irritating not expected end
5,good
5,please provide exchange detail website mentioning return option web site exchange replace need call customer executive
5,need info products app website
5,thanks
5,products return policys many customer problem solved time not west
4,spoke executive explained well sorry remember name name start something sorry inconvenience solved problems spoke politely keep going
5,product diffected side least return policy gives 15 days return defected product
5,gud
1,extremely bad experience quality ur products
4,fast reply
5,one request please kindly solved shopzilla pay latter issueit takes 3 4 monththank
5,thanks
5,product delivered right product customer trustfull company
5,good
5,thanks polite behaviour
5,please provide product given description example description given pipe material steel metal actually plsstic
5,shopzilla brand not add fake brand online app
4,good appp
4,good
5,nice coustomer support
4,please solve issue replacement buy new shoes refund
4,fastest delivered products important
4,good
5,thankyou much mam
5,good
5,please refund getting returned product
5,nice
2,problem not short
2,need help
5,thanks
1,ok
4,hope trustable shop shopzilla
1,executive don闁肩儤甯 崺妞ゆ垼妫勬俊绌 know resolve issues
1,bad experience
4,customer executive talk good happy resolve issue
5,er
5,good communication
5,ok thank
5,shopzilla support guy deserves salary raise keep good work
5,nice voice gud communication skilss
1,stop shopping shopzilla
5,customer care representative polite addressed query well must option available application raise concerns
5,shopzilla always support customer proud family member shopzilla thanks shopzilla
5,good job
2,waiting time resolve issue
1,change policy better understanding call
5,awesome
5,nice girl voice sweet
5,best conversation
5,good
5,everything okay i闁肩儤甯 崺妞ゆ垼妫勬俊绌 fully satisfied customer executive
3,bad experience already one month ago problem not solve
1,disgusting customers support team time pass trying return incomplete order past one half month not listening problem
5,customer care awesome customer required type
5,hope deliver order today
5,good
5,try provide good service consistently
1,make trust foolish things like disappointed shopzilla
5,want issue solved thank
5,give correct product specifications item clearly
5,thank resolving issue happy shopzilla able resolved customers issue
1,sorry invite ur attention dispute three time replacement created right consignment not received habe booked said item 500 ml liew 250 ml repeatedly sending could not understand happening
5,good service
5,good nice
5,thank
5,talking executive buzzing sound makes comunication bit harder please take care issue
5,good
1,taking much time resolve issue
1,senior desk not able support anymore asked wait 24 hours giving reply daily 3rd july 13 august
1,future
5,
1,defective product delivery hurrasing customar
5,improve quality check system products delivered
5,happy
5,pickup delivery address changeable
5,nyc
5,good service
5,customer executive assistant feedback go
5,customer excutive service best
5,skills
5,helpful
4,consultant not reach enough knowledge
5,no
5,u taking much time refund
5,
5,good
5,ok
5,well behave team member
1,product delivery showing 9 00 pm it闁肩儤甯 崺妞ゆ垼妫勬俊绌 10 30 pm product not delivered闁肩儤甯 崺妞 called customer care said day not finished not help cal 12 00 date changes raise concern said闁肩儤甯 崺妞 ordered 1 week ago not delivered promised time shopzilla闁肩儤甯 崺妞 days many online sites delivering within 2 3 days time
1,site p material pocha nhi h delivered dhikha rha h
5,good
5,good
5,good behavior helping nature
5,supporting mujhe bahut hi aache se thankful
5,assistant
5,comstmer care agent nice handle costomer nicely
2,return related issue im applied return date not accepted product soo complaint request things customers tq
5,excilent
5,nyc
1,poor answer given customer support team
1,issue not resolve
5,good service
5,good
5,done
5,customer care ankit sir good man help
1,less role customer care executive improving service company
5,pls make sure product dispatched matches size originally ordered customer rest good fk thanks
1,worst service ever since last 15 days query unresolved pathetic experience shopzilla goin escalate issue consumer forum
5,happy coustomer support
5,nice helpful
5,batter
5,thanks
5,niche
3,still waiting solution product return period return page directing product technical support
5,nice pleas want oder supar fast oder
5,products showing available place hold stock solved customers support good
5,already good
1,not fake promisses fake information
5,good service
5,executive professionally explained worried morning self extra charge delivery agent exceutive explained managed well morning thank much muje apka naam pata thank much solving isuue
5,nothing say
1,not getting solution shopzilla order day day helpless going legal action
1,order not delivered executive keep changing date
1,call purposely disconnected
4,easily reach customer representative
4,please try decrease time resolve simple issues
5,good
4,please put option key reorder cancelled order
5,good exoerience talk executive
5,good talking
5,feedback form inconvenient
1,no
2,shared contact info delivery executive try connect says invalid pin make sure shared contact details item assigned delivery person share status accordingly
5,good job
5,service good
5,please give option bangla also
5,best madam
5,satisfied support
5,nice
5,customer care services courier agents r irresponsible sometimes sale
5,think
5,customer service nice
5,really nice guy called back regarding issue really satisfied lot
5,good customer
1,please sure answering quries
5,app number available fastest response
5,thank
5,dhanyavaad
5,polite person
2,get product related information orginal equipment manufacturer
5,super
5,good customer executive
1,please make representative talk think like robots make understand concern customer know useless shopzilla even bother
5,na
5,thank
5,services almost good first time disappoint order delay cancelled today book another bag might confirmed payment already detected side request please fast time flight first september please take mind busy person doctor
4,thank
5,nothing deliver product right time atleast plus premium member
5,good behaviour skills love
5,shopzilla superb
5,nice
5,resolve issue much fast
4,antivirus not delivered timely per committed schedule not able cancel products shopzilla polices not happy service
5,good
5,appreciate helpful nature executive
5,coustomer executive helpful
4,happy
1,please information provide customer care interaction seller
1,delivery service policy poor
5,good support customer care service
5,nice super
3,led tv bought 5 month problem 3 month still problem resolved bought shopzilla online shopping not tv store response side put mail resolved issue
5,good
5,gud
5,customer care nice
1,bad experience
5,good
5,good
5,no
5,good
5,nice
5,ensure product deliver tomorrow
5,no thanks
5,thank
5,happy
4,customer support quick responce polite
5,nice met solved problem
5,behaviour skills good
4,nyc job
5,thanks
1,aa best app
5,tq information
1,issue not resolved please look
2,not good product different product received many times
5,nice
5,good
1,useless customer platform
1,bad experience
5,taking time resolve issue
4,issue still not resolved look plzzi not able return product want return
5,executive polite helpful helped throughout whole process creating new return thank much
5,good person
5,excellent
5,good thing happened
5,executive good
5,customer executives bad
5,good
5,good service mam sweet
1,never use shopzilla
1,issue marked solved provided non working number pathetic service
4,still issue not resolved received washing machine cleaner earlier received ordered product due delivery agent dispute not delivered
1,bakvaas support hai abhi tak ke experience
5,nice solve problem minimum time
5,communication skills customer executive excellent
5,shopzilla costomer service good
4,good
5,buys products much need give extra discount till much buy shopzilla app
1,improve delivery service
5,meri baat accha se kar ka meri problem
5,excellent behaviour
5,thanks shopzilla
5,good support help
5,helpful
5,mera power bank kharab hai
3,na eed bengali coustomer executive
5,employee good talking resolving issues thanks person helped wonderful day
5,bring back email chat support
4,mam happy service
4,please provide invoice copy
1,bad product quality shopzilla
5,good person
1,not resolved issue
1,last one week calling getting answers no resolution better review support system
5,nice
5,good service
4,happy
5,need improve call immediately
1,2300 supercoins credit per offer kindly credit supercoins instead 100 supercoins
5,good person good behavior
4,make sure u delivery plants good condition
5,thanks
1,poor company
4,no
3,returned courier courier partner still not showing picked trust service courier expensive still showing not picked delivered courier 2hrs ago service
5,nyc
5,customer service good product issue plzz resolve return product
1,not customer care resolve provide solution auto recorded manual voice instructor see comment order status comment repeat no use customer care also pathetic delivery update
4,esa hi sweet voice wali executive rakha kro
5,customer care verry good
5,thank filipcad
5,query solve politely
5,good
5,great communication skills
5,wonderful wonderful bodybuilder full wonderful madam ne bhi ful kam kiya
5,thanks
5,ok
1,waste
2,customer executive interacted completely confused say give proper solutions neither connected executive higher authority issue serious helpless help way
5,umesh customer care executive helpful satisfied
4,good
5,ok
5,thanks
5,good
5,guys lack chat like superbuy cc
4,shopzilla fake go consumer court
5,good
5,sort time regulations
5,nyc experience talk mr way deals problem shows dedication toward job
5,thanks shopzilla
5,good
3,shopzilla needs customer support need ensure someone ordered card machine executive delivers ease transactions
4,good job
3,allow return no return items clothing
5,good
5,good
5,shopzilla good
5,ok good
1,fire executives tgey dumb
5,thank
5,good
5,gud service
1,excellent
1,delivery nanhi de paya feedback hey
5,good behaviour
1,please try resolve customer queries call not take time 24hrs providing simple resolution
5,thank much
5,nice
5,vvv nice
5,nice
5,10
1,return policy not customer friendly shopzilla profit policy
1,sound quality poor
1,bad experience
1,resegination
5,executive excellently handled query happy service much appreciated keep tempo
5,good
4,pls request improve system ok delivery process
5,please make sure delivery boy delivering parcel time shoid right product packing
1,time jada log
5,exllent
1,shopzilla not ownership take action logistics team worest thing
5,good person
5,happy shopzilla customer executive resolve problem
5,good support good person
5,good
1,service not good frauds
5,two days got good person know work proceeding dealing customer
5,good
5,plz take time exchange order
5,good men
1,disgusting purchased product paid order product delivery wrong place call shopzilla customer care told worry not first second continue order product delivering wrong place never trust
5,good
1,company worst
1,appalling service called twice today disconnected call never received call back not know happening incident number awaiting response
1,representative not resolved query
1,shopzilla excutive no anybody responsible person issues not resolved like shopzilla
5,no thanks
1,sare murkh shopzilla mein hue hain
5,bheru lohiya
5,riya mam excellent approach
1,meri samsya ka samadhan nhi kiya gya
5,good
5,customer executive good conversation stifited
5,good
4,cancel order please order wrong adress
1,advised shut company shopzilla not able serve earlier 1 poor communication skills2 pathetic services3 time wasting4 providing false information impose customers5 selling duplicate products
1,make sure product faulty must taken back issue full refund without question
1,vary worst service proving shopzilla
5,good
5,good
4,resolve issue soon possible issue not resolved
4,good
5,good
4,introduce chat support
5,good
1,calling
5,good employee helpful
5,thanks
5,best behaviour girl
5,good
5,problem easily solve thank
1,norml
5,support team shopzilla customer service
5,good
5,good support
5,thank
5,add new phone number
5,best
1,refunded money lost 700 policies
5,good
1,coustmer exicutive rude coustmer
5,good
4,language service quickly
5,good
1,pathetic customer support not solve one useless issue
1,issue resolved
1,service quality shame
4,thanks
5,try give self complain registration method
4,customer good communicate
5,nice
5,best
5,good parson
1,guys hold 10min 15 min pathetic experience
5,good
5,nice
3,bed
5,thanks adding need product anymore
1,close shopzilla
1,poor resolving issues
5,good
5,executive assisted proper resolution queries asked related return product also guided steps create return product
1,bad
5,happy costomer care agent
5,good
5,nikalo
5,good
5,please improve audio call quality
5,please understand delivery related problem short strongly
5,nice
5,app good
3,
1,bad service
1,technical issue
5,playing per wish make policies counter
5,good
5,customer executive intellect understood issue helped alot resolve issue thank shopzilla
1,nice job
5,good service
5,good
5,thank
5,thanks support
1,worst policy
1,wasted 10 hrs precious time bcoz useles online shopping apps
1,customer ready buy product worth 1 5 lakhs shopzilla not ready help payment options pathetic disappointing customer service
5,good
4,ensure ease reaching coustomer support
5,good product time delivery bt last purchase order damaged
2,call support us disabled account
5,good boy
1,keep promise break every day
5,good
5,good service
5,delivery boy pick phone immediately connect customer support delivery boy rejected phone without reason facing problem pick new phone return old phone ex currently buy 32999 oppo reno 10 5 g 4turn old realme phone mentioned body damage return cost given 4000 special 4200 phone value delivery boy rejected paid 8001 pickup phone purchasing oppo reno 10 5 g due old phone value 8200
5,good talking customer care fast service shopzilla
5,super
5,
5,thank
3,conversation good issue not resolved
5,good service
5,find email address gives flexibility attach file want otherwise interaction support team cordial resolving issue thank
5,thank
5,bahut bahut dhanyawad
5,everything good
5,good service
5,shopzilla ki customer care service bahut best hai bahut baat customer care per aur problem bhi bahut thank shopzilla itni acchi service dene
1,agent knowledge resolve issue information
5,customer satisfaction valuable try deliver quality products
5,good
5,best
3,response liya achha
5,happy
5,good customer support
5,
5,make sure resolve query soon possible
5,good
5,thanks
5,good
5,good
5,extremely prompt professional polite regarding issue showed product delivered tomorrow placing order changed date day tomorrow cheating strict terms anyways customer support executive resolved issue thanks
3,work not resolved
5,good
5,love
5,shopzilla provide good equipments faculty material may cause tension customer mind like mixer grinder
5,getting issue use super coins
1,maine oneplus ka bluetooth diya jo tuta hua hai replacement apply kiya aur replacement bata raha hai
5,isme product galat h
5,excellent customer support
5,v good
5,nice
1,worst ever service worst shopzilla looks like chor bazar hai
4,customer care service good
5,return period 7 days less product got issue 8th day difficult diagnose issue
1,hello pathetic service shopzilla recieved different item booked item second time month active customer shopzilla long time time totally fed shopzilla service booked said item two pieces 100 tablet one already listed thing till paid received 3 quantity 40 tablet one last order also got defective item already lodge complaint resolved item unnecessarily lodging complaint waiting resolution disgusting need product quantity price completely unsatisfied shopzilla service time please look matter needful earliest prevent consequences matter thanks regards
5,super
5,nice
5,happy speech madam
5,easy option choose call customer support executive
5,tnx
5,great speak shopzilla customer care got issues resolved easily thank
1,not satisfied sirf bolte hai par jab customer ka koi v problem ho wo sirf apko dilasa denge par problem ka solution nhi dete h shopzilla ka agents sab bahut slow work e h shopzilla bahut bekar company hai
5,person addressed liked way talking interested solve problem
1,customer care team seller misguided customers badtameez no attentive person unknowledge person no manner overall overall badtameez mentally ill person
5,thankyou customer care
5,nice
5,no
5,good
5,ok
5,
5,good contact
1,refond money
1,customers support executives unhelpful
1,poor service
1,need improve service
5,good
5,customer exclusive gold response thank much
1,need hire new customer support team change model second experience year
5,best
3,shopzilla delivery boy not answering call
5,good
5,help
4,good
5,quite
5,coustomer support good
1,disappointed shopzilla
1,resolution date 14 08 2023 not solved yet
5,nice
5,good shoping platforms shopzilla
1,customers care bad behavior
4,please sanitized delivery person
5,nice
5,good
5,good problem 2tan ac stepliger not resolve
5,nice
5,good
1,support team helpless
2,good understanding
5,need improve overall customer service leaps bounds starting loose confidence service
1,product installation still not done
3,product return policies supposed customer received defective product reason mentioned policies
5,good person
5,happy problem solved fast thank much
4,good
5,liked service th
1,concern team bad please communicate concern team respond complaint resolve problem customers
5,customer service executive polite honest person order recieved local product whereas ordered brand product totem please send product soon possible
5,zeher
4,good service problem resolve fastly
5,ok
1,bad
4,policies not feasible
5,concern not resolved yet contacting continuously return getting canceled without genuine reasons customer suffering due
5,ok
5,executiev helpful
5,good
5,excellent
5,costumer
5,excellent
1,order not received
3,don闁肩儤甯 崺妞ゆ垼妫勬俊绌 defraud consumers
5,im satisfied
5,good communication skill
5,awesome experience glad talk pleasure
5,shopzilla service good
5,good
5,time taking long
5,nice
5,thanks mam good day
5,good
5,tracking not accurate
1,dustbin daal apne delivery partners
5,good
5,good
1,bad
5,good
5,person spoke explained everything well
5,good
1,bad problem not resolved
1,improve customer service
5,nice thank
5,good
1,bad service shopzilla
5,prompt reply support executive
1,support really sucks
5,super
5,good person happy talking
4,no tnx
5,customer support requirement got minimum online shopping portal like shopzilla unfortunately almost mandatory shopzilla business since deliver wrong items
5,always ready solve query understand problem thsnks
5,teach delivery pickup person manners talk customer
4,nice work perfect timing solve problem
4,thnks
5,arunima thanks
1,bad
5,good
5,good
1,customer care executive understand complaint
5,good
5,nice
5,heappy
4,pls update status delays return tracker
5,happy
5,sudhar ki avashyakta hai
5,good
5,thanks
5,no
5,good supporting
1,26 rupees not refund till date
1,taking much time resolve problem please reduce time resolving problem
5,overall good
1,return police
1,shopzilla worst thing thats happening right refunds returns easy superbuy dont know really difficult shopzilla ask proofs even share proofs also not willing accept refund process already told bought product going intiating replacement process not refund process worst thing opted shopzilla pay later recently regretting cancel soon willnot use shopzilla place orders worst deluvery time estimations worst refund policies bought shopzilla problem initiate refund immediately routers seal opened scartches router shopzilla dening refund dont understand saying replacement see already bought product seller good send replacement old product 2 products still regret buying guys really difficult task not going recommend frnds sorry
5,good
5,good costumer support services
4,
5,wanted cancel order not yet dispatched shipped not able
5,good person
5,seller strongly advised deliver parcel ordered customer
5,good
5,bahut accha karke thanks support ke liye
5,good
5,thanks support shopzilla customer executive
5,excellent customer care service
1,customer survive support helpful
5,good
5,good
5,good person
5,good
5,great communication skills obedient
5,online chat available customer support
5,thanks customer care support
5,bery friendly
5,good
5,thank
5,increase customer care executives
5,achchhe se bat
5,happy check products well advance deliver delivery time hope delivery boy behavior good thank
5,improve delivery care n services
1,poor shopzilla service logistics also not good avoid shopping shopzilla much possible
5,improve site refund directly
1,cheat
5,good
5,good service
5,good
5,please remove third party sellers selling wrong products shopzilla
5,non return products add one option incorrect product delivery safeguard customer interests well sellers not escape sending anything no return policy
4,good exilent
5,best service
5,good problem solver
1,time pass hai
4,take much time solving costume problems order product boat bluetooth speaker got different brand box noo model number imei number soo keep
5,take action seller
5,clarity no return policy products part return ssmall parts products may permitted
5,happy customer
5,thanku sir chat
5,thanks help
5,thanks understand helping
5,work quality product
5,good
5,make easy reach customer care center
1,last soping shopzilla good bay sorry
5,good
4,thankful
4,please resolve issue fast
5,ok
4,good behaviour
5,nice
5,well done
5,executive person helpful coordinative
5,excellent
1,ganda khel h bawakuf banana
1,e commerce crucial ensure sellers listed platform offer non defective products
5,good
5,good service
5,thanks
5,good vehaviour
5,calling option available help support
1,good
5,great
5,fast resolution
5,thankyou much
5,sensable person easly solve problem
5,nice
4,good
5,excellent performance
5,gyd
5,good
5,good
5,resolve problem soon possible
1,poor customer support
5,great
5,nuce
5,good
5,good work
1,customer care executive hold call never get back call ended 10 minutes not end
3,problem still existing please resolve
4,nice talking gave valuable information good response thank
5,good response
5,deepak good man
5,good
4,customers service good
5,costumer care like 10 10
5,good work
5,good
5,deal fraud sellers
5,thank information
4,appreciate resolve issue
5,thanks
1,bad facilities complaint not resolved
5,everything nice effortless experience
4,good service
5,shopzilla girls best quality language good best communication skill shopzilla girl thankyou mach shopzilla
1,poor service
3,purchase enter led monitor shopzilla problem monitor purchased shopzilla dont information service center
5,good service
5,till goog
4,first time received bad product please let happen
2,good
1,worst payment gateway u using always payment not getting reflected order better purchase superbuy
5,excellent conversation
4,shopzilla logistics services not good days
5,sir resolve issue soon possible thank
5,good
5,sir ne bilkul politely bat ki mere issue resolve kiya
5,thanks
1,excavator bad language problem not solve
1,
5,nice
4,thanku hoping favourable solution
5,delivered problem
1,received call shopzilla customer care executive asked share bank details scheduling technician visit share bank details scheduling technician visit canceled return request pathetic staff shopzilla call reopen rejected request customer executive open request
5,please decrease delivery time
5,custumer product nahi chaiye use turant refund kiya jaye postal chargeg kaat kar
1,callback
4,great speak
5,good
1,executive says put notes request issue note not shows
5,thank
5,add chat agent option along call option option chat bot either tell end chat connect call sometimes not possible call prefer chat agent talked call efficient nice
5,good work
5,happy
1,bad shopzilla policy
5,good
5,good information
1,last time order anything shopzilla
5,good
4,shopzilla level control delivery goods time not delivered extend extra discount customer suffering inability fulfill order
5,please dont doubt atleast old customers bought maybe lakhs prime customer taken 4 calls one whole day resolve finally resolved thank u
5,good person
5,nicely understood problem solved problem
5,corporate
1,no proper resolution delayed deliveries poor customer support
4,worried future grocery orders executed not
5,good girl
5,great customer executive thanks
4,good
5,kindly asked seller provide correct item shown order
1,delivery partner delivery delivered tv door step spent rs500 vehicle pick tv officei want rs500 compensation
5,good help
3,no quantity assurance shopzilla sellers sending items without inspection causing wastage time peace mind
4,good help
5,good
5,well
1,please exchange mochi loafers number 11 delivered number 10
5,customer agent way talking nice
5,great experience solving issue
5,nice
5,nice
5,please share information partner shopzilla logistics
5,pay little attention sellers harass customers
5,
3,like support not like delivery time system
5,add extra charge cod
5,good
1,bed service shopzilla no solution
1,strongly disappointed shopzilla delivery waiting since 13th aug still counting
1,take ownership give resolution
5,simply great
1,no
5,helpful service
5,thnx
5,excellent
5,good
2,understand clear issue no proper solution given getting ordered phone reach
5,good comunicating
5,nice service
4,not sent warranty card
1,thought cheeting customer used online shopping received wrong product
4,without receiving item mentioned delivered really got dissatisfied could better not repeated
5,
5,delivery person rating system also started
4,nice
5,happy
5,
5,best sarvice please resolve issue thankyou
5,good
5,fine
2,service better time not warking others people 9 6 pm job warking time
5,good service
5,requesting every order deliver within 2 3 days
5,team
5,nice
5,fast resolving issues good communication customers
5,nice behaviour
5,thank valuable information
1,even taking lot time problem could not solved ordered torch light received 9th product not working request returns till not return
1,call got disconnected please call back
5,thankyou
5,smooth dealing excutive
5,gud job
1,sch bed service side personally courier side
5,product incompatible enable return option instead replacement
5,tq
5,amazing wonderful friendly
5,good
5,good
5,helpful service
5,clam humble spoked queries thanks giving best customer support
5,timely delivery need fir last 3 months getting repeated delay
3,customer support ok customer issue not resolveda timeline
5,baat krne ka tarika
1,shopzilla logistic person not cooperative coordinating even requesting delivery product already reached town since last 3 days vapi town small town within 3 km radius still product not reaching literally bagging delivery agent deliver not responding information cancelled previous order due delay delivery writing review finally delivery person came got product delivered thanks lot
5,good
4,wanted continental speciale coffee ordered delivery boy tried deliver different product insisted correct product cooly left place spoke customer care executive arrange delivery product since price product gone suggested ordering product not feel correct
5,satisfied
5,everything okay
5,good
5,good
5,kindly add n schedule languages
5,customer support good
5,good person
1,issue not resolved company
5,yes
5,execuitive good experienced well mannered no service shopzilla since 01 08 2023 shopzilla go hell destroy immediately stop fraud business
5,list cheap quality products clothing harms rempotation band value waste buyers time money
5,gentlemen
1,angrly service
5,thanks help support
4,provide good quality productsin reasonable price happy no delivery charges products thank
1,no comments
5,good understanding
4,satisfied service
5,ok
1,non practical officer
5,please solve free delivery rs 250 300 00
1,problem not solved
5,kindly arrange product customers ordered
5,sometimes customer call right wrong item delivered takes sometime update delivery confirmation shopzilla option customer execs call customers back basically schedule call back customers rather asking call next business day
1,bad services
1,bad
1,useless support
5,good
5,
5,good customer care support
5,happy proper response shopzilla tram
4,nice voice
5,good
5,time customer support eritete last time customer support talk goodly behavior happy see type staaff connected shopzilla outstanding communication skills thankyou
5,good overall
1,fraud freated customers sellng duplicate products
5,problem solved perfectly issue get information product bad experience whole thing properly gone
5,please make regulation part third party companies insure not push customer take advantage
5,good support please give messaging updating option time delivery must visible delivery end
5,nothing thanks shopzilla
2,agent doesnt updated information delivery product
1,trying actually resolve issue instead saying understand concern
5,great
5,hi baat aap ne achhe se ki ab muje pc number se bi call krlo frd kabi ya abhi wp kr skte ho like frdship hindi bharat happy 77th independence day
5,no
5,overall good
5,sellers miss use no return policy sending different products
1,issue not resolved one month taking time required two times payment taken one order
1,shopzilla not give solution earlier
4,installation team contact details available particular order
4,product na bheje
5,issue resolved
5,love
5,please
5,nice costamar support
1,puta call option help center
1,customer service best lkin delevery product mising
5,gd person helpful
4,understanding problem
5,good service
5,good
1,good
5,good
5,sometimes app not showing refund option showing replacement instead refund
5,change voice quality
5,no comments overall good experience
5,good information
1,disappointed
5,happy
5,please add tags products
5,nice
5,good
1,take consent
1,quality support bad need work
5,good customer service
5,good
1,bad
5,good
5,thanks
5,shopzilla care happy
5,good person
5,hood
1,please return money otherwise
5,address fast updated thankyou costmer care
1,customer care executive want raised complaint delivery partner logistics team compensation related penalty related customer care executive respond
4,provide alternative number support team reach meed mail shopzilla com along government document proof policy customer support call would able make edits add alternate number end
5,na
5,nice behaviour
1,not proper information repeat thing againn
5,representative speaking well coperate excellent
5,good
5,sweet polite
5,hame bahut mam se bat karke meri se samjha mam ne mere hisab se mam ko bahut field mai thank mam meri help karne ke lie
5,good
5,good
5,supportive thank
1,stop wasting customers time
5,excellent
1,action needs taken seller unfair cancellation order
1,thanks shopzilla member problem
5,good
5,retain employees like guy short simple conversation
5,ok
4,thank
1,provide resolution
3,bohut acha customer service
5,great
5,customer support good shopzilla also good
5,thankyou taking initiative issue
1,bed service never use shopzilla
3,customer service excellent
5,good
1,customer executive not good communication skills bad behaviour
1,no
5,thanks
5,excellent
5,proper services delivery genuine products please
5,good
5,thank customer service
5,nice performance
5,excellent support recieved thank
2,washing machine not working 10 days no solution provided defective want refund replacement
5,good
1,customer support executive always supportive not arguable
5,nyc
4,
5,demage item
5,seller canceled exchange without contacting
5,customer care executive politely understand query resolved time
5,resolution quick efficient
5,good
1,worst customer service executive not minimal knowledge address issue got careless irresponsible response
1,need proper information
5,good
5,nothing
1,sirvic bad
3,aaj humko support kiye customer care ji ne humko har chij ke mamle mein santusht kiya ham unki sahmat hai dhanyvad customer care
1,bad service
1,item missing boxand item not returned image issueand issue not resolved till 27 july
5,happy coustmer support agent
5,good
1,sabse jyada ghatiya service
5,thanks shopzilla castmare care
5,nice
5,good service
5,good person
4,disroy watch
5,not bad
5,service usual
5,nothing
1,main jab bhi oder hu muzaffarnagar aate reject ho jaata hai 2 bar aasa ho chuka hai mere sath please help
5,happy
5,good
1,people fraud
5,communication polite professional
5,nice product thankyou shopzilla
